"no","inisial1","inisial2","inisial3","inisial4","sex","peminatan","univs1","jurusans1","humor","keaktifan","inisiatif","efikasi","shareinfo","leadership","dayatarik"
1,14,9,4,0,2,3,12,1,5,2,5,3,6,3,"3"
2,14,9,20,0,2,1,2,1,4,3,4,5,6,2,"2.5"
3,4,5,18,0,2,3,2,1,4,4,4,4,5,4,"2.5"
4,18,9,14,0,2,3,9,1,3,3,6,5,6,4,"2"
5,12,1,0,0,2,3,1,2,3,3,4,4,4,3,"2"
6,6,5,2,0,2,3,3,1,3,4,5,5,5,3,"2"
7,8,1,14,0,2,2,8,1,4,2,4,5,6,3,"3"
8,8,5,19,0,2,4,10,2,4,3,4,3,5,5,"2"
9,13,9,12,0,2,2,4,1,4,5,6,5,6,6,"2"
10,19,25,1,0,2,1,5,1,5,5,5,6,4,5,"2.5"
11,2,5,18,0,2,1,6,1,4,4,5,5,4,3,"3"
12,14,21,0,0,2,2,7,1,4,1,4,5,6,2,"2.5"
13,6,5,2,0,2,3,11,1,2,5,4,4,5,5,"2"
14,19,1,14,0,2,2,13,1,3,4,5,4,5,4,"2"
15,19,5,20,0,1,3,6,1,4,4,6,4,4,4,"3.2"
16,19,8,5,12,2,1,4,2,2,4,4,4,6,2,"2.5"
17,20,1,18,0,2,3,1,2,3,5,4,4,5,3,"3.5"
18,20,8,1,12,2,4,1,1,2,4,5,3,6,2,"2"
19,23,1,14,0,1,1,7,1,4,4,5,5,4,4,"3.3"
20,25,21,20,0,2,1,2,1,4,4,4,4,4,3,"2.5"
